aftermarket_value_ratio,Current_Price,USD_MSRP,price_per_piece,Pieces,Minifigures,age_years,Theme_Group,Availability
11.00333444481494,329.99,29.99,0.14558252427184465,206.0,5,17,Licensed,{Not specified}
4.380475594493117,35.0,7.99,0.12106060606060606,66.0,1,17,Modern day,Retail
2.868579052701801,43.0,14.99,0.1703409090909091,88.0,1,17,Modern day,Retail
6.002000800320129,149.99,24.99,0.07285714285714286,343.0,2,17,Modern day,Retail
5.801160232046409,290.0,49.99,0.10796976241900648,463.0,3,17,Modern day,Retail
2.002004008016032,9.99,4.99,0.15121212121212121,33.0,1,17,Modern day,Retail
2.003093093093093,20.0109,9.99,0.07684615384615384,130.0,1,17,Modern day,Retail
2.5006251562890722,100.0,39.99,0.08986516853932584,445.0,4,17,Modern day,Retail
1.6016016016016015,16.0,9.99,0.10627659574468086,94.0,1,17,Modern day,Retail
2.22246916324036,200.0,89.99,0.09442812172088143,953.0,7,17,Modern day,Retail
11.002200440088018,550.0,49.99,0.11133630289532294,449.0,3,17,Licensed,Retail
2.0025062656641603,7.99,3.99,0.060454545454545455,66.0,0,17,Licensed,Promotional
5.006257822277847,40.0,7.99,0.07133928571428572,112.0,1,17,Action/Adventure,{Not specified}
6.11764705882353,48.88,7.99,0.06099236641221374,131.0,1,17,Action/Adventure,{Not specified}
5.33689126084056,80.0,14.99,0.09196319018404908,163.0,1,17,Action/Adventure,{Not specified}
4.0026684456304205,60.0,14.99,0.07973404255319148,188.0,1,17,Action/Adventure,{Not specified}
4.336224149432955,65.0,14.99,0.0614344262295082,244.0,3,17,Action/Adventure,{Not specified}
2.9514757378689347,59.0,19.99,0.07063604240282685,283.0,1,17,Action/Adventure,{Not specified}
4.934978326108703,148.0,29.99,0.0864265129682997,347.0,2,17,Action/Adventure,{Not specified}
2.19438877755511,10.95,4.99,0.1108888888888889,45.0,0,17,Racing,Retail
2.9959919839679356,14.95,4.99,0.11604651162790698,43.0,0,17,Racing,Retail
4.297935871743487,21.4467,4.99,0.09072727272727273,55.0,0,17,Racing,Retail
3.0023094688221708,39.0,12.99,0.09147887323943663,142.0,0,17,Racing,Retail
